archive_path,exists_locally,size_bytes,sha256,upload_status
simulation/tasks/work-1/M10O90D1-S2/run_metadata.json,True,1488,,not_started
simulation/tasks/work-1/M10O90D1-S2/DONE,True,43,,not_started
simulation/tasks/work-1/M10O90-S4/start.pdb,True,3905014,,not_started
simulation/tasks/work-1/M10O90-S4/output.dcd,True,2892720276,,not_started
simulation/tasks/work-1/M10O90-S4/system.xml,True,22497873,,not_started
simulation/tasks/work-1/M10O90-S4/molecule_map.tsv,True,4869,,not_started
simulation/tasks/work-1/M10O90-S4/run_metadata.json,True,1513,,not_started
simulation/tasks/work-1/M10O90-S4/DONE,True,41,,not_started
simulation/tasks/work-1/M10O90D1-S4/start.pdb,True,3937414,,not_started
simulation/tasks/work-1/M10O90D1-S4/output.dcd,True,2916720276,,not_started
simulation/tasks/work-1/M10O90D1-S4/system.xml,True,22951331,,not_started
simulation/tasks/work-1/M10O90D1-S4/molecule_map.tsv,True,4902,,not_started
simulation/tasks/work-1/M10O90D1-S4/run_metadata.json,True,1519,,not_started
simulation/tasks/work-1/M10O90D1-S4/DONE,True,43,,not_started
simulation/tasks/work-2/M0O100/start.pdb,True,2916004,,not_started
simulation/tasks/work-2/M0O100/output.dcd,True,2160120276,,not_started
simulation/tasks/work-2/M0O100/system.xml,True,17585922,,not_started
simulation/tasks/work-2/M0O100/molecule_map.tsv,True,3561,,not_started
simulation/tasks/work-2/M0O100/run_metadata.json,True,1061,,not_started
simulation/tasks/work-2/M0O100/DONE,True,38,,not_started
simulation/tasks/work-2/M5O95/start.pdb,True,3410509,,not_started
simulation/tasks/work-2/M5O95/output.dcd,True,2526420276,,not_started
simulation/tasks/work-2/M5O95/system.xml,True,20232510,,not_started
simulation/tasks/work-2/M5O95/molecule_map.tsv,True,3624,,not_started
simulation/tasks/work-2/M5O95/run_metadata.json,True,1443,,not_started
simulation/tasks/work-2/M5O95/DONE,True,37,,not_started
simulation/tasks/work-2/M10O90/start.pdb,True,3905014,,not_started
