system,replicate,frame,time_us,parent_n_nodes,parent_n_edges,parent_edge_density,parent_mean_partner_number,parent_largest_component_fraction,parent_free_chain_fraction,MED1_parent_mean_partner_number,OCT4_parent_mean_partner_number,block_n_nodes,block_n_eligible_external_pairs,block_n_edges,block_edge_density,block_mean_partner_number,block_largest_component_fraction,continuity_block_n_edges,continuity_block_n_covalent_edges,continuity_block_largest_component_fraction,continuity_block_residue_LCC_fraction,cross_parent_residue_contacts_per_100_residues,MED1_cross_parent_contact_incidences_per_100_residues,OCT4_cross_parent_contact_incidences_per_100_residues,n_sibling_MED1_fragment_edges_excluded,n_sibling_MED1_residue_pairs_excluded,DNA_direct_MED1_parent_count,DNA_direct_OCT4_parent_count,DNA_linked_physical_fraction,DNA_direct_physical_fraction,DNA_second_physical_fraction,DNA_third_plus_physical_fraction,DNA_linked_residue_fraction,DNA_direct_residue_fraction,DNA_second_residue_fraction,DNA_third_plus_residue_fraction,DNA_linked_parent_fraction,DNA_direct_parent_fraction,DNA_second_parent_fraction,DNA_third_plus_parent_fraction,DNA_linked_bead_all_count,DNA_linked_bead_all_total_weight,DNA_linked_bead_all_mean_nm,DNA_linked_bead_all_q90_nm,DNA_linked_bead_OCT4_count,DNA_linked_bead_OCT4_total_weight,DNA_linked_bead_OCT4_mean_nm,DNA_linked_bead_OCT4_q90_nm,DNA_linked_bead_MED1_count,DNA_linked_bead_MED1_total_weight,DNA_linked_bead_MED1_mean_nm,DNA_linked_bead_MED1_q90_nm,DNA_linked_parent_weighted_bead_all_count,DNA_linked_parent_weighted_bead_all_total_weight,DNA_linked_parent_weighted_bead_all_mean_nm,DNA_linked_parent_weighted_bead_all_q90_nm,DNA_linked_parent_weighted_bead_OCT4_count,DNA_linked_parent_weighted_bead_OCT4_total_weight,DNA_linked_parent_weighted_bead_OCT4_mean_nm,DNA_linked_parent_weighted_bead_OCT4_q90_nm,DNA_linked_parent_weighted_bead_MED1_count,DNA_linked_parent_weighted_bead_MED1_total_weight,DNA_linked_parent_weighted_bead_MED1_mean_nm,DNA_linked_parent_weighted_bead_MED1_q90_nm,DNA_linked_physical_chain_com_all_count,DNA_linked_physical_chain_com_all_total_weight,DNA_linked_physical_chain_com_all_mean_nm,DNA_linked_physical_chain_com_all_q90_nm,DNA_linked_physical_chain_com_OCT4_count,DNA_linked_physical_chain_com_OCT4_total_weight,DNA_linked_physical_chain_com_OCT4_mean_nm,DNA_linked_physical_chain_com_OCT4_q90_nm,DNA_linked_physical_chain_com_MED1_count,DNA_linked_physical_chain_com_MED1_total_weight,DNA_linked_physical_chain_com_MED1_mean_nm,DNA_linked_physical_chain_com_MED1_q90_nm,DNA_linked_block_com_all_count,DNA_linked_block_com_all_total_weight,DNA_linked_block_com_all_mean_nm,DNA_linked_block_com_all_q90_nm,DNA_linked_block_com_OCT4_count,DNA_linked_block_com_OCT4_total_weight,DNA_linked_block_com_OCT4_mean_nm,DNA_linked_block_com_OCT4_q90_nm,DNA_linked_block_com_MED1_count,DNA_linked_block_com_MED1_total_weight,DNA_linked_block_com_MED1_mean_nm,DNA_linked_block_com_MED1_q90_nm
M10O90,work,3001,3.001,100,53.0,0.0107070707070707,1.06,0.24,0.42,2.7,0.8777777777777778,130,8325.0,62.0,0.0074474474474474,0.953846153846154,0.1846153846153846,92,30,0.3230769230769231,0.331176104542626,34.37668533499274,40.87286527514232,82.35802469135803,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3101,3.101,100,55.0,0.0111111111111111,1.1,0.14,0.41,2.9,0.9,130,8325.0,66.0,0.0079279279279279,1.015384615384615,0.1461538461538461,96,30,0.2230769230769231,0.231176104542626,36.7517112632234,35.439595192915874,92.07716049382717,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3201,3.201,100,74.0,0.0149494949494949,1.48,0.25,0.29,3.9,1.211111111111111,130,8325.0,87.0,0.0104504504504504,1.3384615384615384,0.1076923076923077,117,30,0.3307692307692307,0.3386434349719975,56.216552582451776,62.40354206198609,136.84567901234567,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3301,3.301,100,70.0,0.0141414141414141,1.4,0.21,0.35,3.6,1.1555555555555554,130,8325.0,78.0,0.0093693693693693,1.2,0.0769230769230769,108,30,0.2769230769230769,0.2834474175482265,38.31985065339141,44.86401012017711,92.14506172839506,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3401,3.401,100,57.0,0.0115151515151515,1.14,0.26,0.33,3.1,0.9222222222222224,130,8325.0,68.0,0.0081681681681681,1.0461538461538462,0.1384615384615384,98,30,0.3384615384615385,0.346110765401369,38.1207218419415,49.75964579380139,89.16358024691358,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3501,3.501,100,61.0,0.0123232323232323,1.22,0.12,0.34,3.5,0.9666666666666668,130,8325.0,69.0,0.0082882882882882,1.0615384615384615,0.0692307692307692,99,30,0.1615384615384615,0.165588052271313,41.22173822858328,51.758380771663504,97.41666666666669,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3601,3.601,100,55.0,0.0111111111111111,1.1,0.07,0.37,2.5,0.9444444444444444,130,8325.0,60.0,0.0072072072072072,0.9230769230769232,0.0538461538461538,90,30,0.0923076923076923,0.095457373988799,44.94710640945862,43.3270082226439,112.61728395061728,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3701,3.701,100,76.0,0.0153535353535353,1.52,0.23,0.33,3.0,1.3555555555555556,130,8325.0,84.0,0.01009009009009,1.2923076923076924,0.1,114,30,0.2461538461538461,0.2477286869943995,54.02198713959759,48.9753320683112,136.8672839506173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3801,3.801,100,66.0,0.0133333333333333,1.32,0.17,0.28,3.1,1.1222222222222222,130,8325.0,77.0,0.0092492492492492,1.1846153846153846,0.1153846153846153,107,30,0.2,0.2029247044181705,42.52644679527069,45.63567362428842,104.28703703703704,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,3901,3.901,100,67.0,0.0135353535353535,1.34,0.17,0.3,4.2,1.022222222222222,130,8325.0,78.0,0.0093693693693693,1.2,0.0615384615384615,108,30,0.2230769230769231,0.2282514001244555,47.9879693009749,61.05629348513599,113.01543209876544,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
