system,replicate,parent_n_nodes,parent_n_edges,parent_edge_density,parent_mean_partner_number,parent_largest_component_fraction,parent_free_chain_fraction,MED1_parent_mean_partner_number,OCT4_parent_mean_partner_number,block_n_nodes,block_n_eligible_external_pairs,block_n_edges,block_edge_density,block_mean_partner_number,block_largest_component_fraction,continuity_block_n_edges,continuity_block_n_covalent_edges,continuity_block_largest_component_fraction,continuity_block_residue_LCC_fraction,cross_parent_residue_contacts_per_100_residues,MED1_cross_parent_contact_incidences_per_100_residues,OCT4_cross_parent_contact_incidences_per_100_residues,n_sibling_MED1_fragment_edges_excluded,n_sibling_MED1_residue_pairs_excluded,DNA_direct_MED1_parent_count,DNA_direct_OCT4_parent_count,DNA_linked_physical_fraction,DNA_direct_physical_fraction,DNA_second_physical_fraction,DNA_third_plus_physical_fraction,DNA_linked_residue_fraction,DNA_direct_residue_fraction,DNA_second_residue_fraction,DNA_third_plus_residue_fraction,DNA_linked_parent_fraction,DNA_direct_parent_fraction,DNA_second_parent_fraction,DNA_third_plus_parent_fraction,DNA_linked_bead_all_count,DNA_linked_bead_all_total_weight,DNA_linked_bead_all_mean_nm,DNA_linked_bead_all_q90_nm,DNA_linked_bead_OCT4_count,DNA_linked_bead_OCT4_total_weight,DNA_linked_bead_OCT4_mean_nm,DNA_linked_bead_OCT4_q90_nm,DNA_linked_bead_MED1_count,DNA_linked_bead_MED1_total_weight,DNA_linked_bead_MED1_mean_nm,DNA_linked_bead_MED1_q90_nm,DNA_linked_parent_weighted_bead_all_count,DNA_linked_parent_weighted_bead_all_total_weight,DNA_linked_parent_weighted_bead_all_mean_nm,DNA_linked_parent_weighted_bead_all_q90_nm,DNA_linked_parent_weighted_bead_OCT4_count,DNA_linked_parent_weighted_bead_OCT4_total_weight,DNA_linked_parent_weighted_bead_OCT4_mean_nm,DNA_linked_parent_weighted_bead_OCT4_q90_nm,DNA_linked_parent_weighted_bead_MED1_count,DNA_linked_parent_weighted_bead_MED1_total_weight,DNA_linked_parent_weighted_bead_MED1_mean_nm,DNA_linked_parent_weighted_bead_MED1_q90_nm,DNA_linked_physical_chain_com_all_count,DNA_linked_physical_chain_com_all_total_weight,DNA_linked_physical_chain_com_all_mean_nm,DNA_linked_physical_chain_com_all_q90_nm,DNA_linked_physical_chain_com_OCT4_count,DNA_linked_physical_chain_com_OCT4_total_weight,DNA_linked_physical_chain_com_OCT4_mean_nm,DNA_linked_physical_chain_com_OCT4_q90_nm,DNA_linked_physical_chain_com_MED1_count,DNA_linked_physical_chain_com_MED1_total_weight,DNA_linked_physical_chain_com_MED1_mean_nm,DNA_linked_physical_chain_com_MED1_q90_nm,DNA_linked_block_com_all_count,DNA_linked_block_com_all_total_weight,DNA_linked_block_com_all_mean_nm,DNA_linked_block_com_all_q90_nm,DNA_linked_block_com_OCT4_count,DNA_linked_block_com_OCT4_total_weight,DNA_linked_block_com_OCT4_mean_nm,DNA_linked_block_com_OCT4_q90_nm,DNA_linked_block_com_MED1_count,DNA_linked_block_com_MED1_total_weight,DNA_linked_block_com_MED1_mean_nm,DNA_linked_block_com_MED1_q90_nm
M10O90-S4,work-1,100.0,76.175,0.015388888888888836,1.5234999999999999,0.29,0.28375,4.43,1.2005555555555554,130.0,8325.0,89.8,0.010786786786786736,1.3815384615384616,0.10788461538461536,89.8,0.0,0.10788461538461536,0.10943839452395762,58.816635552789876,102.83965844402277,124.85200617283951,10.3,5968.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90-S4,work-2,100.0,72.275,0.014601010101010054,1.4455,0.2855,0.2975,4.235,1.1355555555555557,130.0,8325.0,84.425,0.01014114114114109,1.2988461538461538,0.10153846153846151,84.425,0.0,0.10153846153846151,0.10313524165110968,53.21484131922838,87.8085072738773,115.51612654320988,10.4,6137.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90D1,work,100.0,153.65,0.031040404040403997,3.073,0.518,0.2535,5.1525,2.8419444444444446,130.0,8325.0,163.95,0.019693693693693635,2.5223076923076926,0.38557692307692304,193.95,30.0,0.5542307692307692,0.5577629122588674,66.73548019083178,55.21046805819102,171.65918209876543,0.0,0.0,4.675,31.575,0.52025,0.3625,0.10525,0.052500000000000005,0.5600762289981331,0.38909303049159927,0.1159505289359054,0.0550326695706285,0.52025,0.3625,0.10525,0.052500000000000005,27001.275,27001.275,13.409324951831584,30.789457387568763,16290.0,16290.0,8.968993457731905,23.776196688438223,10711.275,10711.275,20.198940027078557,34.08306352435896,27001.275,52.025,10.441300911664856,27.330040766877282,16290.0,45.25,8.968993457731907,23.781594381078552,10711.275,6.774999999999999,20.19894002707856,34.08306352435896,52.025,52.025,9.30662129597162,25.689085282865136,45.25,45.25,7.789716358018028,23.46728139773791,6.775,6.775,19.29806641897157,31.16301018390095,72.35,72.35,12.316132834358891,30.336807216449465,45.25,45.25,7.789716358018028,23.46728139773791,27.1,27.1,19.912306732295036,33.6531396017407
M10O90D1,work-1,100.0,147.325,0.029762626262626213,2.9465,0.49424999999999997,0.2515,4.7924999999999995,2.7413888888888893,130.0,8325.0,159.55,0.019165165165165123,2.4546153846153844,0.38692307692307687,189.55,30.0,0.5146153846153846,0.5166008089607965,67.10210537232939,56.23608475648324,172.24976851851852,0.0,0.0,3.725,31.0,0.49725,0.34725,0.09775,0.05225,0.5201073428749222,0.35364499066583693,0.10781736154324828,0.05864499066583696,0.49725,0.34725,0.09775,0.05225,25074.375,25074.375,11.83998120829103,26.975091387128266,15786.0,15786.0,8.276693599053923,20.802712266734552,9288.375,9288.375,18.06671312995775,31.57755847096998,25074.375,49.724999999999994,9.420092777027516,23.232404909895045,15786.0,43.85,8.276693599053925,20.806963868910557,9288.375,5.874999999999999,18.066713129957755,31.57755847096998,49.725,49.725,8.21155364912936,22.21077875323193,43.85,43.85,7.054235622601861,20.301834991763773,5.875,5.875,16.996384249515614,29.02741091246432,67.35,67.35,10.689372569197841,26.418892202761857,43.85,43.85,7.054235622601861,20.301834991763773,23.5,23.5,17.662358922878834,30.798270076098497
M10O90D1,work-2,100.0,146.3,0.0295555555555555,2.926,0.48624999999999996,0.257,4.42,2.7600000000000002,130.0,8325.0,159.55,0.019165165165165123,2.4546153846153844,0.36538461538461536,189.55,30.0,0.49403846153846154,0.49479775980087115,66.76078614395354,54.091239721695125,172.28063271604938,0.0,0.0,3.0,31.725,0.48624999999999996,0.34725,0.077,0.062,0.49479775980087115,0.33528313627878037,0.09295581829495955,0.0665588052271313,0.48624999999999996,0.34725,0.077,0.062,23854.2,23854.2,11.880582918449793,27.884273699168308,15633.0,15633.0,8.368780503326596,22.131088696751796,8221.2,8221.2,18.428720564226076,32.7777142356289,23854.2,48.625,9.476201099064308,24.696603350423537,15633.0,43.425,8.368780503326597,22.136535416807536,8221.2,5.199999999999999,18.428720564226083,32.7777142356289,48.625,48.625,8.260201041468726,23.90645066493804,43.425,43.425,7.146068482862144,21.701216545804744,5.2,5.2,17.2100310359681,28.80001271874438,64.225,64.225,10.734171212143334,27.431445423859138,43.425,43.425,7.146068482862144,21.701216545804744,20.8,20.8,18.086214236251678,32.0222642959431
M10O90D1-S2,work,100.0,156.35,0.03158585858585854,3.127,0.54475,0.231,4.365,2.9894444444444446,130.0,8325.0,164.275,0.01973273273273268,2.5273076923076925,0.36788461538461537,184.275,20.0,0.40942307692307695,0.4053033602986932,68.00886745488488,50.270872865275145,177.85902777777778,0.3,37.675,3.0,32.75,0.4320454545454545,0.32749999999999996,0.0702272727272727,0.03431818181818176,0.4063270068450529,0.29749377722464215,0.07192906036092092,0.03690416925948971,0.466,0.35750000000000004,0.0765,0.03725,19589.025,19589.025,8.5203229743974,20.242281641486716,15012.0,15012.0,6.433903468518781,14.543557538777685,4577.025,4577.025,15.391647378321176,28.110288626995338,19589.025,46.6,7.403402776017126,17.389729529487617,15012.0,41.699999999999996,6.433903468518783,14.54744752271824,4577.025,4.9,15.40022771589156,28.356852679270055,47.525,47.525,6.284651523623882,16.351042798048645,41.7,41.7,5.116907104141367,13.176232692984389,5.825,5.825,14.45055029861776,24.340394687672763,53.35,53.35,7.268495544831403,19.415348729488144,41.7,41.7,5.116907104141367,13.176232692984389,11.65,11.65,14.986587531057875,26.96164064040097
M10O90D1-S2,work-1,100.0,150.35,0.03037373737373733,3.007,0.5455,0.2425,5.8025,2.696388888888889,130.0,8325.0,159.575,0.019168168168168118,2.455,0.38249999999999995,179.575,20.0,0.43769230769230766,0.4368092719352831,66.13576021572288,60.357368753953196,167.36296296296297,0.425,44.325,5.475,29.275,0.4386363636363636,0.31886363636363635,0.07772727272727269,0.04204545454545448,0.4374144368388301,0.312630678282514,0.08010734287492217,0.04467641568139387,0.4655,0.34750000000000003,0.08525,0.04575,21087.75,21087.75,9.567046981828478,22.323981959920665,14229.0,14229.0,7.198557175459963,17.391065328326494,6858.75,6858.75,14.556230566530814,26.484747442153424,21087.75,46.55,8.283076346113678,20.14681234705122,14229.0,39.52499999999999,7.198557175459965,17.463767645926943,6858.75,7.025,14.506409984383888,26.516701848999368,48.25,48.25,7.288364311517452,19.29702541425471,39.525,39.525,5.931260818952124,16.351872923491616,8.725,8.725,13.462146317668399,23.534249849024523,56.975,56.975,8.393854523976206,21.9527349056762,39.525,39.525,5.931260818952124,16.351872923491616,17.45,17.45,14.046776469107604,25.646682990051783
M10O90D1-S2,work-2,100.0,142.225,0.02873232323232317,2.8445,0.5309999999999999,0.24025,5.5649999999999995,2.5422222222222226,130.0,8325.0,152.45,0.01831231231231226,2.3453846153846154,0.3632692307692308,172.45,20.0,0.41596153846153844,0.4148055382700684,63.87295166977806,61.347722960151806,160.14575617283953,0.125,10.775,4.95,28.575,0.4211363636363636,0.30772727272727274,0.07431818181818177,0.03909090909090903,0.4167626011200995,0.29907747355320474,0.07813161169881763,0.03955351586807713,0.449,0.33525,0.081,0.042749999999999996,20092.125,20092.125,9.37201924353784,21.71820993546968,13797.0,13797.0,7.159857420013549,16.703201345601748,6295.125,6295.125,14.278421117460201,26.20690290117799,20092.125,44.9,8.20400686870232,19.556946457549294,13797.0,38.325,7.15985742001355,17.008151243908202,6295.125,6.575,14.2537588121503,26.472968894570293,46.325,46.325,7.194368596935791,18.26926014743552,38.325,38.325,5.925464059366563,15.538187037522457,8.0,8.0,13.292281173601129,22.308959885285773,54.325,54.325,8.23156433076933,20.740530686088906,38.325,38.325,5.925464059366563,15.538187037522457,16.0,16.0,13.806122330920426,24.77954357032479
M10O90D1-S4,work,100.0,168.925,0.03412626262626258,3.3785,0.62575,0.21675,7.4275,2.928611111111111,130.0,8325.0,184.15,0.022120120120120074,2.833076923076923,0.4096153846153846,184.15,0.0,0.4096153846153846,0.41050871188550087,82.57851068243103,118.2455724225174,188.0480709876543,9.0,5433.85,5.8,30.25,0.41269230769230764,0.2819230769230769,0.08307692307692305,0.04769230769230763,0.41367869736569174,0.28302634308234803,0.08244295789255338,0.04820939639079026,0.47175,0.3605,0.09925,0.05475,19943.45,19943.45,7.583646216755639,16.352366197371886,14337.0,14337.0,6.587131829328352,14.592155055386446,5606.45,5606.45,10.02062982247434,19.291339435412233,19943.45,47.175,7.121183480530654,15.668753321601466,14337.0,39.824999999999996,6.587131829328352,14.596058111095516,5606.45,7.349999999999999,9.94503564885287,19.18246491227778,53.65,53.65,6.333776614142588,15.052355680908216,39.825,39.825,5.245794594985358,13.56116962291703,13.825,13.825,9.348549295763126,17.939613564961956,53.65,53.65,6.333776614142588,15.052355680908216,39.825,39.825,5.245794594985358,13.56116962291703,13.825,13.825,9.348549295763126,17.939613564961956
M10O90D1-S4,work-1,100.0,162.6,0.03284848484848481,3.2520000000000002,0.58425,0.23025,7.1275,2.821388888888889,130.0,8325.0,177.8,0.02135735735735732,2.735384615384615,0.39749999999999996,177.8,0.0,0.39749999999999996,0.39760215722879066,75.72635345364031,105.22232764073371,174.01141975308641,9.475,5909.975,4.625,29.975,0.40288461538461534,0.27749999999999997,0.0917307692307692,0.03365384615384608,0.40302530595312175,0.2779138145612943,0.09106979879693007,0.03404169259489729,0.45575,0.346,0.11025,0.0405,19429.85,19429.85,7.094830600589243,15.348589458124076,14058.0,14058.0,6.2908150120365915,13.6778983457397,5371.85,5371.85,9.238064272161658,17.50686566297042,19429.85,45.575,6.772178886181294,14.708625740736725,14058.0,39.05,6.290815012036592,13.682997366014991,5371.85,6.524999999999999,9.563483111311589,18.429268018050177,52.375,52.375,5.894501464613179,14.178985350466462,39.05,39.05,5.003772485035872,12.746660600061917,13.325,13.325,8.533157489972515,15.797007430905555,52.375,52.375,5.894501464613179,14.178985350466462,39.05,39.05,5.003772485035872,12.746660600061917,13.325,13.325,8.533157489972515,15.797007430905555
M10O90D1-S4,work-2,100.0,161.65,0.03265656565656562,3.2329999999999997,0.608,0.21175000000000002,5.675,2.961666666666667,130.0,8325.0,174.3,0.020936936936936882,2.6815384615384614,0.3926923076923077,174.3,0.0,0.3926923076923077,0.3903661066168844,76.55102675793404,88.0572422517394,184.841512345679,10.5,5874.075,3.675,32.25,0.3992307692307692,0.2790384615384615,0.07961538461538459,0.040576923076923024,0.3969591371084837,0.27609624559220075,0.07983872640531006,0.041024165110972795,0.47000000000000003,0.35924999999999996,0.095,0.047,19137.4,19137.4,7.324212221759782,15.96311206721364,14796.0,14796.0,6.22123558723337,13.93730308127798,4341.4,4341.4,11.01225509073801,20.06154026667405,19137.4,47.0,6.849915530036851,15.209712108032724,14796.0,41.099999999999994,6.2212355872333704,13.941141117112817,4341.4,5.8999999999999995,11.145004013800934,20.43313769748081,51.9,51.9,6.039371565617598,14.769545488688072,41.1,41.1,4.877664455049218,12.72801070274487,10.8,10.8,10.387357662399952,18.95439652668514,51.9,51.9,6.039371565617598,14.769545488688072,41.1,41.1,4.877664455049218,12.72801070274487,10.8,10.8,10.387357662399952,18.95439652668514
M20O80D1,work,100.0,152.625,0.030833333333333286,3.0524999999999998,0.52475,0.22025,3.56,2.925625,160.0,12600.0,172.725,0.013708333333333284,2.1590625,0.313125,232.725,60.0,0.5220312500000001,0.5218197616683218,53.094463753723936,44.60088551549652,173.8074652777778,0.0,0.0,4.925,29.8,0.52475,0.34725,0.0915,0.086,0.5218197616683218,0.30642874875868914,0.11110228401191655,0.10428872889771597,0.52475,0.34725,0.0915,0.086,31528.35,31528.35,16.08668843799665,34.764617993133236,15165.0,15165.0,9.450519075001779,25.963819489990648,16363.35,16363.35,22.407410575258897,37.96720979614945,31528.35,52.475,12.009117343814442,30.96691694641645,15165.0,42.125,9.45051907500178,25.974015562875206,16363.35,10.349999999999998,22.4074105752589,37.96720979614945,52.475,52.475,10.897881479794382,29.90758906938738,42.125,42.125,8.26015724767586,25.360456492362193,10.35,10.35,21.608162963966528,36.228113656722925,83.525,83.525,15.064268074461506,34.54238365686243,42.125,42.125,8.26015724767586,25.360456492362193,41.4,41.4,22.179869883569637,37.43948175497947
M20O80D1,work-1,100.0,145.575,0.029409090909090864,2.9114999999999998,0.51525,0.23650000000000002,4.245,2.578125,160.0,12600.0,169.45,0.013448412698412654,2.118125,0.32375,229.45,60.0,0.5470312500000001,0.5495034756703079,50.55842436279378,48.385041113219486,159.01197916666666,0.0,0.0,7.275,25.45,0.521,0.32725,0.10900000000000001,0.08475,0.5554555610724925,0.3420022343594836,0.1230449354518371,0.09040839126117176,0.521,0.32725,0.10900000000000001,0.08475,33560.625,33560.625,16.700171168928325,34.97337265826333,14391.0,14391.0,10.87712858720124,29.15910176920521,19169.625,19169.625,21.003556826421313,36.697252486030656,33560.625,52.1,13.28154141019028,32.44606726091477,14391.0,39.975,10.877128587201241,29.165950361328647,19169.625,12.124999999999998,21.003556826421317,36.697252486030656,52.1,52.1,12.15918292820099,31.127103470855936,39.975,39.975,9.814492516364577,29.041699043549006,12.125,12.125,19.671783256339776,33.148887360992504,88.475,88.475,15.806988992188375,34.433065259945174,39.975,39.975,9.814492516364577,29.041699043549006,48.5,48.5,20.669621807842653,36.18340188098677
M20O80D1,work-2,100.0,140.475,0.028378787878787826,2.8095,0.487,0.2375,4.2924999999999995,2.4387499999999998,160.0,12600.0,167.0,0.013253968253968209,2.0875,0.31015625,227.0,60.0,0.51484375,0.517009682224429,49.87624131082423,50.97398798228969,153.3072048611111,0.0,0.0,6.725,24.725,0.487,0.3145,0.0965,0.076,0.517009682224429,0.3232907149950347,0.10448237338629589,0.08923659384309826,0.487,0.3145,0.0965,0.076,31237.725,31237.725,16.00067023601595,34.702372821563294,13491.0,13491.0,10.428311912264181,28.698144103180464,17746.725,17746.725,20.2604257423067,36.42462338609944,31237.725,48.7,12.69818498300306,32.034978230091966,13491.0,37.474999999999994,10.428311912264183,28.70325773323281,17746.725,11.224999999999998,20.260425742306705,36.42462338609944,48.7,48.7,11.588210903289212,30.941723716841903,37.475,37.475,9.297445756805354,28.367804270817366,11.225,11.225,19.19665302837027,34.052826152300575,82.375,82.375,15.03473551497513,34.18941424923445,37.475,37.475,9.297445756805354,28.367804270817366,44.9,44.9,19.85248959996558,35.67947082849044
M50O0D1,work,50.0,129.325,0.10557142857142851,5.173,0.9869999999999999,0.011,5.173,,200.0,19600.0,224.75,0.011466836734693828,2.2475,0.48462500000000003,374.75,150.0,0.9869999999999999,0.9869999999999999,29.21246046805819,58.42492093611638,,0.0,0.0,21.55,0.0,0.9869999999999999,0.43099999999999994,0.367,0.189,0.9869999999999999,0.43099999999999994,0.367,0.189,0.9869999999999999,0.43099999999999994,0.367,0.189,78022.35,78022.35,22.2275048021039,35.12254873357843,0.0,0.0,,,78022.35,78022.35,22.2275048021039,35.12254873357843,78022.35,49.35,22.2275048021039,35.12254873357843,0.0,0.0,,,78022.35,49.35,22.2275048021039,35.12254873357843,49.35,49.35,22.020537215190004,34.52194846434834,0.0,0.0,,,49.35,49.35,22.020537215190004,34.52194846434834,197.4,197.4,22.0854590199937,35.10199524121484,0.0,0.0,,,197.4,197.4,22.0854590199937,35.10199524121484
