system,replicate,cutoff_nm,largest_cluster_size,largest_cluster_fraction,largest_cluster_residue_fraction,second_cluster_size,second_cluster_fraction,finite_cluster_mean_size,N_clusters_size_ge_2,monomer_fraction
M25O75,work-2,1.2,20.875,0.20875,0.25199661781285226,9.425,0.09425,3.834949907155184,14.85,0.274
M25O75,work-2,1.4,22.575,0.22574999999999998,0.2726674182638106,10.475,0.10475000000000001,4.274963037593137,14.075,0.259
M30O70,work,1.0,20.175,0.20175,0.25214167699297807,11.15,0.1115,4.3367210921795785,14.55,0.281
M30O70,work,1.2,23.45,0.23450000000000001,0.2877075588599752,12.05,0.12050000000000001,4.6018941793204196,13.675,0.26675
M30O70,work,1.4,26.2,0.262,0.31814952498967364,12.975,0.12975,4.970087760631849,12.975,0.2555
M30O70,work-1,1.0,22.45,0.2245,0.2735047501032631,10.0,0.1,3.6766706290324116,14.125,0.2995
M30O70,work-1,1.2,26.15,0.2615,0.31916253614209,9.825,0.09825,3.6583152417865987,13.475,0.28500000000000003
M30O70,work-1,1.4,27.975,0.27975,0.341237092110698,10.225,0.10225,3.8586258632906962,13.05,0.27025
M30O70,work-2,1.0,20.875,0.20875,0.259814126394052,10.4,0.10400000000000001,3.882607118233153,14.5,0.28700000000000003
M30O70,work-2,1.2,24.4,0.244,0.3012422552664188,10.775,0.10775000000000001,4.109457137276895,13.725,0.26825
M30O70,work-2,1.4,27.35,0.27349999999999997,0.3322552664188352,11.65,0.1165,4.560926853093409,12.7,0.25125000000000003
M50O0,work,1.0,48.6,0.9719999999999999,0.9719999999999999,0.85,0.017,1.0999999999999999,1.125,0.023
M50O0,work,1.2,48.925,0.9785,0.9785,0.725,0.014499999999999999,1.1347222222222222,1.125,0.0165
M50O0,work,1.4,49.3,0.986,0.986,0.525,0.010499999999999999,1.1388888888888888,1.075,0.011
M50O0,work-1,1.0,48.75,0.975,0.975,0.825,0.0165,1.2293333333333334,1.175,0.017499999999999998
M50O0,work-1,1.2,49.15,0.983,0.983,0.625,0.0125,1.3431372549019607,1.175,0.0095
M50O0,work-1,1.4,49.425,0.9884999999999999,0.9884999999999999,0.475,0.0095,1.222222222222222,1.1,0.0075
M50O0,work-2,1.0,48.975,0.9795,0.9795,0.725,0.014500000000000002,1.419298245614035,1.15,0.0125
M50O0,work-2,1.2,49.225,0.9845,0.9845,0.6,0.012,1.3274509803921568,1.125,0.0095
M50O0,work-2,1.4,49.525,0.9904999999999999,0.9904999999999999,0.375,0.0075,1.1282051282051282,1.05,0.0075
M50O0D1,work,1.0,48.925,0.9785,0.9785,0.8,0.016,1.2430555555555556,1.15,0.014499999999999999
M50O0D1,work,1.2,49.35,0.9869999999999999,0.9869999999999999,0.5,0.01,1.0925925925925926,1.05,0.011
M50O0D1,work,1.4,49.425,0.9884999999999999,0.9884999999999999,0.425,0.0085,1.1111111111111112,1.05,0.0095
M50O0D1,work-1,1.0,48.8,0.976,0.976,0.8,0.016,1.1308641975308642,1.1,0.0195
M50O0D1,work-1,1.2,49.05,0.9810000000000001,0.9810000000000001,0.675,0.013500000000000002,1.0533333333333332,1.05,0.017
M50O0D1,work-1,1.4,49.25,0.985,0.985,0.55,0.011,1.0666666666666667,1.05,0.013000000000000001
M50O0D1,work-2,1.0,48.7,0.974,0.974,0.775,0.0155,1.2083333333333333,1.15,0.019
M50O0D1,work-2,1.2,49.0,0.9800000000000001,0.9800000000000001,0.7,0.014000000000000002,1.173913043478261,1.075,0.016
M50O0D1,work-2,1.4,49.225,0.9845,0.9845,0.525,0.0105,1.1111111111111112,1.05,0.013000000000000001
M50O50,work,1.0,28.425,0.28425,0.3278122102009273,11.275,0.11274999999999999,4.550897583935229,12.725,0.25625
M50O50,work,1.2,33.1,0.331,0.3803809891808346,11.825,0.11825000000000001,4.776886759123471,11.75,0.2395
M50O50,work,1.4,38.425,0.38425,0.4388207109737248,11.75,0.11750000000000001,4.864561089654855,10.675,0.22125
M50O50,work-1,1.0,27.5,0.275,0.31871947449768157,10.375,0.10375000000000001,4.087586823448414,13.175,0.26125
M50O50,work-1,1.2,32.975,0.32975,0.3783446676970633,9.7,0.097,3.8629258410812484,12.35,0.242
M50O50,work-1,1.4,38.5,0.385,0.44161514683153014,10.275,0.10275000000000001,4.076467316625932,11.0,0.22774999999999998
M50O50,work-2,1.0,25.35,0.2535,0.2931306027820711,11.825,0.11825000000000001,4.616387312907091,13.1,0.2575
M50O50,work-2,1.2,29.9,0.29900000000000004,0.3468083462132921,12.125,0.12125000000000001,4.846357867689042,12.275,0.23675000000000002
M50O50,work-2,1.4,35.125,0.35125,0.40110278207109734,11.8,0.118,4.7702230861246875,11.1,0.21925
M5O95,work,1.0,11.975,0.11975,0.14806020662629135,7.15,0.0715,2.6976962216254607,19.675,0.32999999999999996
M5O95,work,1.2,13.375,0.13375,0.16220520128250798,7.25,0.0725,2.829098777185027,19.05,0.3145
M5O95,work,1.4,14.825,0.14825,0.17605272532953326,7.7,0.077,3.0253626022486544,18.8,0.29250000000000004
M5O95,work-1,1.0,10.25,0.10250000000000001,0.13258639116494472,6.925,0.06925,2.6817614467830664,19.675,0.346
M5O95,work-1,1.2,11.2,0.11200000000000002,0.14070894193088704,7.525,0.07525000000000001,2.9292394657068384,19.3,0.3225
M5O95,work-1,1.4,12.225,0.12225000000000001,0.15454755967224793,8.025,0.08025,3.1092924976773113,19.025,0.3045
M5O95,work-2,1.0,9.7,0.097,0.12425899536872101,7.2,0.072,2.787320325309894,20.025,0.3315
M5O95,work-2,1.2,10.825,0.10825,0.13605272532953328,7.6,0.076,2.9781782991227823,19.55,0.3145
M5O95,work-2,1.4,11.8,0.118,0.14801389383683644,8.45,0.08449999999999999,3.279864239871923,19.025,0.296
