replicate,system,frame,time_us,cutoff_nm,largest_cluster_size,largest_cluster_fraction,largest_cluster_residue_fraction,second_cluster_size,second_cluster_fraction,finite_cluster_mean_size,N_clusters_size_ge_2,monomer_fraction
work,M0O100,4801,4.801,1.0,14,0.14,0.14,12,0.12,3.604651162790698,15,0.38
work,M0O100,4801,4.801,1.2,14,0.14,0.14,12,0.12,3.7906976744186047,15,0.36
work,M0O100,4801,4.801,1.4,14,0.14,0.14,13,0.13,4.069767441860465,15,0.35
work,M0O100,4901,4.901,1.0,9,0.09,0.09,7,0.07,2.56043956043956,23,0.31
work,M0O100,4901,4.901,1.2,10,0.1,0.1,9,0.09,2.888888888888889,22,0.3
work,M0O100,4901,4.901,1.4,10,0.1,0.1,9,0.09,2.911111111111111,23,0.28
work-1,M0O100,1001,1.001,1.0,8,0.08,0.08,5,0.05,2.391304347826087,20,0.35
work-1,M0O100,1001,1.001,1.2,8,0.08,0.08,5,0.05,2.4347826086956523,22,0.31
work-1,M0O100,1001,1.001,1.4,8,0.08,0.08,6,0.06,2.6956521739130435,21,0.3
work-1,M0O100,1101,1.101,1.0,10,0.1,0.1,6,0.06,2.3777777777777778,22,0.33
work-1,M0O100,1101,1.101,1.2,10,0.1,0.1,6,0.06,2.4444444444444446,23,0.3
work-1,M0O100,1101,1.101,1.4,10,0.1,0.1,8,0.08,3.1333333333333333,23,0.25
work-1,M0O100,1201,1.201,1.0,6,0.06,0.06,5,0.05,2.276595744680851,21,0.39
work-1,M0O100,1201,1.201,1.2,6,0.06,0.06,5,0.05,2.3617021276595747,22,0.36
work-1,M0O100,1201,1.201,1.4,6,0.06,0.06,6,0.06,2.5531914893617023,22,0.33
work-1,M0O100,1301,1.301,1.0,10,0.1,0.1,6,0.06,2.422222222222222,23,0.31
work-1,M0O100,1301,1.301,1.2,11,0.11,0.11,6,0.06,2.438202247191011,23,0.3
work-1,M0O100,1301,1.301,1.4,11,0.11,0.11,6,0.06,2.438202247191011,23,0.3
work-1,M0O100,1401,1.401,1.0,8,0.08,0.08,7,0.07,3.0,20,0.31
work-1,M0O100,1401,1.401,1.2,8,0.08,0.08,7,0.07,3.0217391304347827,21,0.29
work-1,M0O100,1401,1.401,1.4,8,0.08,0.08,8,0.08,3.3043478260869565,22,0.24
work-1,M0O100,1501,1.501,1.0,6,0.06,0.06,5,0.05,2.106382978723404,24,0.37
work-1,M0O100,1501,1.501,1.2,6,0.06,0.06,5,0.05,2.106382978723404,24,0.37
work-1,M0O100,1501,1.501,1.4,7,0.07,0.07,6,0.06,2.3118279569892475,23,0.36
work-1,M0O100,1601,1.601,1.0,8,0.08,0.08,7,0.07,2.565217391304348,22,0.33
work-1,M0O100,1601,1.601,1.2,9,0.09,0.09,8,0.08,2.8461538461538463,21,0.32
work-1,M0O100,1601,1.601,1.4,9,0.09,0.09,8,0.08,2.978021978021978,20,0.32
work-1,M0O100,1701,1.701,1.0,10,0.1,0.1,7,0.07,2.933333333333333,15,0.4
work-1,M0O100,1701,1.701,1.2,12,0.12,0.12,7,0.07,3.0454545454545454,15,0.37
work-1,M0O100,1701,1.701,1.4,12,0.12,0.12,8,0.08,3.3181818181818183,16,0.33
work-1,M0O100,1801,1.801,1.0,12,0.12,0.12,8,0.08,2.727272727272727,23,0.27
work-1,M0O100,1801,1.801,1.2,13,0.13,0.13,8,0.08,2.8160919540229883,23,0.25
work-1,M0O100,1801,1.801,1.4,13,0.13,0.13,8,0.08,2.885057471264368,24,0.22
work-1,M0O100,1901,1.901,1.0,8,0.08,0.08,5,0.05,2.108695652173913,21,0.4
work-1,M0O100,1901,1.901,1.2,9,0.09,0.09,5,0.05,2.2967032967032965,20,0.38
work-1,M0O100,1901,1.901,1.4,9,0.09,0.09,6,0.06,2.5384615384615383,19,0.36
work-1,M0O100,2001,2.001,1.0,6,0.06,0.06,4,0.04,1.6382978723404256,22,0.48
work-1,M0O100,2001,2.001,1.2,6,0.06,0.06,4,0.04,1.7234042553191489,21,0.48
work-1,M0O100,2001,2.001,1.4,6,0.06,0.06,4,0.04,1.7872340425531914,22,0.45
work-1,M0O100,2101,2.101,1.0,6,0.06,0.06,6,0.06,2.1702127659574466,21,0.41
work-1,M0O100,2101,2.101,1.2,6,0.06,0.06,6,0.06,2.25531914893617,23,0.36
work-1,M0O100,2101,2.101,1.4,6,0.06,0.06,6,0.06,2.25531914893617,23,0.36
work-1,M0O100,2201,2.201,1.0,13,0.13,0.13,9,0.09,2.7011494252873565,20,0.33
work-1,M0O100,2201,2.201,1.2,13,0.13,0.13,9,0.09,2.7701149425287355,20,0.32
work-1,M0O100,2201,2.201,1.4,13,0.13,0.13,9,0.09,2.7701149425287355,20,0.32
work-1,M0O100,2301,2.301,1.0,6,0.06,0.06,5,0.05,2.297872340425532,25,0.32
work-1,M0O100,2301,2.301,1.2,6,0.06,0.06,5,0.05,2.4680851063829787,26,0.27
work-1,M0O100,2301,2.301,1.4,6,0.06,0.06,5,0.05,2.4680851063829787,26,0.27
work-1,M0O100,2401,2.401,1.0,9,0.09,0.09,4,0.04,1.8131868131868127,16,0.51
work-1,M0O100,2401,2.401,1.2,9,0.09,0.09,4,0.04,1.8571428571428568,18,0.47
work-1,M0O100,2401,2.401,1.4,9,0.09,0.09,4,0.04,1.945054945054945,18,0.45
work-1,M0O100,2501,2.501,1.0,8,0.08,0.08,7,0.07,2.108695652173913,21,0.42
work-1,M0O100,2501,2.501,1.2,10,0.1,0.1,7,0.07,2.2,19,0.42
work-1,M0O100,2501,2.501,1.4,10,0.1,0.1,8,0.08,2.511111111111111,20,0.37
work-1,M0O100,2601,2.601,1.0,6,0.06,0.06,5,0.05,2.021276595744681,20,0.44
work-1,M0O100,2601,2.601,1.2,6,0.06,0.06,5,0.05,2.148936170212766,21,0.4
work-1,M0O100,2601,2.601,1.4,6,0.06,0.06,6,0.06,2.3404255319148937,21,0.38
work-1,M0O100,2701,2.701,1.0,6,0.06,0.06,6,0.06,2.191489361702128,21,0.4
work-1,M0O100,2701,2.701,1.2,8,0.08,0.08,7,0.07,2.5217391304347827,19,0.39
work-1,M0O100,2701,2.701,1.4,8,0.08,0.08,8,0.08,2.6739130434782608,19,0.38
work-1,M0O100,2801,2.801,1.0,9,0.09,0.09,6,0.06,2.2967032967032965,22,0.35
work-1,M0O100,2801,2.801,1.2,9,0.09,0.09,6,0.06,2.4285714285714284,22,0.33
work-1,M0O100,2801,2.801,1.4,9,0.09,0.09,6,0.06,2.4505494505494507,23,0.31
work-1,M0O100,2901,2.901,1.0,9,0.09,0.09,8,0.08,3.241758241758242,19,0.3
work-1,M0O100,2901,2.901,1.2,9,0.09,0.09,8,0.08,3.241758241758242,19,0.3
work-1,M0O100,2901,2.901,1.4,9,0.09,0.09,8,0.08,3.3076923076923075,19,0.29
work-1,M0O100,3001,3.001,1.0,10,0.1,0.1,7,0.07,2.6222222222222222,23,0.28
work-1,M0O100,3001,3.001,1.2,10,0.1,0.1,7,0.07,2.6222222222222222,23,0.28
work-1,M0O100,3001,3.001,1.4,10,0.1,0.1,7,0.07,2.888888888888889,23,0.25
work-1,M0O100,3101,3.101,1.0,10,0.1,0.1,9,0.09,2.888888888888889,19,0.35
work-1,M0O100,3101,3.101,1.2,11,0.11,0.11,9,0.09,2.9101123595505616,19,0.34
work-1,M0O100,3101,3.101,1.4,11,0.11,0.11,9,0.09,2.9101123595505616,19,0.34
work-1,M0O100,3201,3.201,1.0,9,0.09,0.09,5,0.05,1.879120879120879,21,0.43
work-1,M0O100,3201,3.201,1.2,9,0.09,0.09,5,0.05,2.010989010989011,20,0.42
work-1,M0O100,3201,3.201,1.4,9,0.09,0.09,5,0.05,2.032967032967033,21,0.4
work-1,M0O100,3301,3.301,1.0,6,0.06,0.06,5,0.05,2.0638297872340425,20,0.43
work-1,M0O100,3301,3.301,1.2,6,0.06,0.06,5,0.05,2.1702127659574466,21,0.4
work-1,M0O100,3301,3.301,1.4,6,0.06,0.06,5,0.05,2.191489361702128,22,0.38
work-1,M0O100,3401,3.401,1.0,7,0.07,0.07,5,0.05,2.182795698924731,22,0.37
work-1,M0O100,3401,3.401,1.2,9,0.09,0.09,5,0.05,2.208791208791209,22,0.35
work-1,M0O100,3401,3.401,1.4,9,0.09,0.09,5,0.05,2.208791208791209,22,0.35
work-1,M0O100,3501,3.501,1.0,8,0.08,0.08,6,0.06,2.5217391304347827,24,0.29
work-1,M0O100,3501,3.501,1.2,8,0.08,0.08,6,0.06,2.608695652173913,25,0.26
work-1,M0O100,3501,3.501,1.4,17,0.17,0.17,8,0.08,2.63855421686747,22,0.26
work-1,M0O100,3601,3.601,1.0,9,0.09,0.09,6,0.06,2.1648351648351647,22,0.38
work-1,M0O100,3601,3.601,1.2,9,0.09,0.09,6,0.06,2.1648351648351647,22,0.38
work-1,M0O100,3601,3.601,1.4,9,0.09,0.09,6,0.06,2.4285714285714284,23,0.32
work-1,M0O100,3701,3.701,1.0,5,0.05,0.05,4,0.04,2.1157894736842104,22,0.39
work-1,M0O100,3701,3.701,1.2,7,0.07,0.07,6,0.06,2.2688172043010755,21,0.38
work-1,M0O100,3701,3.701,1.4,7,0.07,0.07,6,0.06,2.290322580645161,22,0.36
work-1,M0O100,3801,3.801,1.0,6,0.06,0.06,5,0.05,2.5106382978723403,25,0.26
work-1,M0O100,3801,3.801,1.2,6,0.06,0.06,6,0.06,2.8085106382978724,23,0.26
work-1,M0O100,3801,3.801,1.4,6,0.06,0.06,6,0.06,2.8085106382978724,23,0.26
work-1,M0O100,3901,3.901,1.0,6,0.06,0.06,6,0.06,2.297872340425532,23,0.36
work-1,M0O100,3901,3.901,1.2,9,0.09,0.09,6,0.06,2.3626373626373627,22,0.35
work-1,M0O100,3901,3.901,1.4,10,0.1,0.1,6,0.06,2.555555555555556,22,0.32
work-1,M0O100,4001,4.001,1.0,9,0.09,0.09,5,0.05,1.989010989010989,22,0.39
work-1,M0O100,4001,4.001,1.2,9,0.09,0.09,5,0.05,2.0549450549450547,22,0.38
work-1,M0O100,4001,4.001,1.4,9,0.09,0.09,5,0.05,2.120879120879121,23,0.35
work-1,M0O100,4101,4.101,1.0,9,0.09,0.09,6,0.06,2.4285714285714284,20,0.36
work-1,M0O100,4101,4.101,1.2,9,0.09,0.09,6,0.06,2.5384615384615383,20,0.34
work-1,M0O100,4101,4.101,1.4,11,0.11,0.11,6,0.06,2.730337078651685,19,0.32
work-1,M0O100,4201,4.2010000000000005,1.0,5,0.05,0.05,5,0.05,2.3684210526315788,25,0.3
work-1,M0O100,4201,4.2010000000000005,1.2,6,0.06,0.06,5,0.05,2.5106382978723403,25,0.27
work-1,M0O100,4201,4.2010000000000005,1.4,6,0.06,0.06,5,0.05,2.5531914893617023,25,0.26
work-1,M0O100,4301,4.301,1.0,10,0.1,0.1,9,0.09,3.2,14,0.42
work-1,M0O100,4301,4.301,1.2,17,0.17,0.17,10,0.1,3.0963855421686746,12,0.41
work-1,M0O100,4301,4.301,1.4,18,0.18,0.18,10,0.1,3.1219512195121952,12,0.4
work-1,M0O100,4401,4.401,1.0,4,0.04,0.04,4,0.04,1.8125,27,0.38
work-1,M0O100,4401,4.401,1.2,4,0.04,0.04,4,0.04,1.9583333333333333,27,0.35
work-1,M0O100,4401,4.401,1.4,7,0.07,0.07,5,0.05,2.139784946236559,25,0.33
work-1,M0O100,4501,4.501,1.0,10,0.1,0.1,6,0.06,2.422222222222222,19,0.37
work-1,M0O100,4501,4.501,1.2,10,0.1,0.1,6,0.06,2.4444444444444446,20,0.35
work-1,M0O100,4501,4.501,1.4,11,0.11,0.11,8,0.08,2.730337078651685,19,0.34
work-1,M0O100,4601,4.601,1.0,9,0.09,0.09,8,0.08,2.956043956043956,22,0.3
work-1,M0O100,4601,4.601,1.2,11,0.11,0.11,11,0.11,3.8764044943820224,21,0.24
work-1,M0O100,4601,4.601,1.4,11,0.11,0.11,11,0.11,3.943820224719101,21,0.23
work-1,M0O100,4701,4.7010000000000005,1.0,6,0.06,0.06,6,0.06,2.595744680851064,21,0.34
work-1,M0O100,4701,4.7010000000000005,1.2,6,0.06,0.06,6,0.06,2.702127659574468,21,0.32
work-1,M0O100,4701,4.7010000000000005,1.4,6,0.06,0.06,6,0.06,2.702127659574468,21,0.32
work-1,M0O100,4801,4.801,1.0,14,0.14,0.14,7,0.07,2.9069767441860463,20,0.29
work-1,M0O100,4801,4.801,1.2,14,0.14,0.14,7,0.07,2.9069767441860463,20,0.29
work-1,M0O100,4801,4.801,1.4,14,0.14,0.14,8,0.08,3.255813953488372,19,0.28
work-1,M0O100,4901,4.901,1.0,7,0.07,0.07,7,0.07,2.462365591397849,23,0.33
work-1,M0O100,4901,4.901,1.2,7,0.07,0.07,7,0.07,2.4838709677419355,24,0.31
work-1,M0O100,4901,4.901,1.4,8,0.08,0.08,7,0.07,2.739130434782609,24,0.27
work-2,M0O100,1001,1.001,1.0,9,0.09,0.09,6,0.06,2.758241758241758,20,0.31
work-2,M0O100,1001,1.001,1.2,9,0.09,0.09,7,0.07,3.175824175824176,19,0.28
work-2,M0O100,1001,1.001,1.4,9,0.09,0.09,7,0.07,3.175824175824176,19,0.28
work-2,M0O100,1101,1.101,1.0,8,0.08,0.08,5,0.05,2.260869565217391,24,0.32
work-2,M0O100,1101,1.101,1.2,8,0.08,0.08,5,0.05,2.260869565217391,24,0.32
work-2,M0O100,1101,1.101,1.4,8,0.08,0.08,6,0.06,2.4782608695652173,23,0.31
work-2,M0O100,1201,1.201,1.0,9,0.09,0.09,8,0.08,3.263736263736264,18,0.3
work-2,M0O100,1201,1.201,1.2,17,0.17,0.17,7,0.07,2.927710843373494,17,0.29
work-2,M0O100,1201,1.201,1.4,17,0.17,0.17,7,0.07,3.0963855421686746,18,0.26
work-2,M0O100,1301,1.301,1.0,8,0.08,0.08,6,0.06,2.717391304347826,20,0.33
work-2,M0O100,1301,1.301,1.2,8,0.08,0.08,6,0.06,2.847826086956522,20,0.31
work-2,M0O100,1301,1.301,1.4,8,0.08,0.08,6,0.06,2.847826086956522,20,0.31
work-2,M0O100,1401,1.401,1.0,5,0.05,0.05,5,0.05,2.094736842105263,20,0.43
work-2,M0O100,1401,1.401,1.2,6,0.06,0.06,5,0.05,2.106382978723404,20,0.42
work-2,M0O100,1401,1.401,1.4,6,0.06,0.06,5,0.05,2.1702127659574466,20,0.41
work-2,M0O100,1501,1.501,1.0,11,0.11,0.11,9,0.09,3.0,23,0.26
work-2,M0O100,1501,1.501,1.2,11,0.11,0.11,9,0.09,3.02247191011236,24,0.24
work-2,M0O100,1501,1.501,1.4,11,0.11,0.11,9,0.09,3.067415730337079,24,0.23
work-2,M0O100,1601,1.601,1.0,8,0.08,0.08,7,0.07,3.717391304347826,24,0.16
work-2,M0O100,1601,1.601,1.2,8,0.08,0.08,8,0.08,3.869565217391304,24,0.15
work-2,M0O100,1601,1.601,1.4,9,0.09,0.09,8,0.08,3.901098901098901,24,0.14
work-2,M0O100,1701,1.701,1.0,5,0.05,0.05,4,0.04,2.094736842105263,24,0.36
work-2,M0O100,1701,1.701,1.2,5,0.05,0.05,4,0.04,2.2,26,0.31
work-2,M0O100,1701,1.701,1.4,5,0.05,0.05,4,0.04,2.2,26,0.31
work-2,M0O100,1801,1.801,1.0,13,0.13,0.13,7,0.07,2.9080459770114944,22,0.24
work-2,M0O100,1801,1.801,1.2,13,0.13,0.13,7,0.07,3.0919540229885056,22,0.22
work-2,M0O100,1801,1.801,1.4,13,0.13,0.13,10,0.1,3.64367816091954,21,0.22
work-2,M0O100,1901,1.901,1.0,7,0.07,0.07,6,0.06,2.6559139784946235,25,0.26
work-2,M0O100,1901,1.901,1.2,7,0.07,0.07,6,0.06,2.6989247311827955,25,0.25
work-2,M0O100,1901,1.901,1.4,7,0.07,0.07,6,0.06,2.6989247311827955,25,0.25
work-2,M0O100,2001,2.001,1.0,12,0.12,0.12,6,0.06,2.522727272727273,21,0.3
work-2,M0O100,2001,2.001,1.2,12,0.12,0.12,6,0.06,2.522727272727273,21,0.3
work-2,M0O100,2001,2.001,1.4,12,0.12,0.12,10,0.1,3.477272727272727,19,0.29
work-2,M0O100,2101,2.101,1.0,10,0.1,0.1,4,0.04,2.0,22,0.38
work-2,M0O100,2101,2.101,1.2,11,0.11,0.11,6,0.06,2.415730337078652,19,0.37
work-2,M0O100,2101,2.101,1.4,11,0.11,0.11,7,0.07,2.7752808988764044,20,0.32
