system,replicate,frame,time_us,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity
D1,work,4701,4.7010000000000005,18.026870297962752,57.548507810381366,0.8963726486266709
D1,work,4801,4.801,17.290844216666407,54.73401529008901,0.945340663706408
D1,work,4901,4.901,16.581018767306198,51.067696200255355,0.8129345162650741
D1,work-1,1001,1.0010000000000001,18.67090548706962,62.42169664037939,0.9391174843928372
D1,work-1,1101,1.101,18.252250462707032,60.98124331723356,0.954915224604945
D1,work-1,1201,1.201,17.020957574667314,55.1548414432635,0.779805760959761
D1,work-1,1301,1.301,18.15036587848075,58.60529911003338,0.8984386572286159
D1,work-1,1401,1.401,17.42696914798705,54.18168688747061,0.8246914313604028
D1,work-1,1501,1.5010000000000001,18.104355687369967,59.08801101779165,0.9658621166573464
D1,work-1,1601,1.601,17.531057262956324,56.572827858185036,0.8831364002857675
D1,work-1,1701,1.701,18.32830964736321,60.010349231658374,0.8954534318298584
D1,work-1,1801,1.801,16.727757943208715,51.26327603907996,0.7221903910536628
D1,work-1,1901,1.901,17.262765544797606,54.53570508948637,0.8728594808507647
D1,work-1,2001,2.001,17.86105947573274,57.779830384660094,0.8587425307380263
D1,work-1,2101,2.101,15.27618769789864,42.86490192538933,0.6103896626734383
D1,work-1,2201,2.201,17.35495250161942,56.43702381630547,0.7943487260582076
D1,work-1,2301,2.301,17.85276290498149,56.45025255734066,0.8894614732517976
D1,work-1,2401,2.4010000000000002,15.912280196984309,48.44941873117556,0.7275539856457838
D1,work-1,2501,2.501,16.262636919438215,47.1600964064197,0.6803281450048109
D1,work-1,2601,2.601,18.414670355065194,59.822837284273966,0.9660438673819421
D1,work-1,2701,2.701,17.444556160124623,56.888517521875926,0.8582564377928517
D1,work-1,2801,2.801,16.954995621132003,55.22291504415452,0.8863382703238183
D1,work-1,2901,2.9010000000000002,16.872651934055263,52.73948953719789,0.9195506704707964
D1,work-1,3001,3.001,17.00670837241098,54.04082325792096,0.901008866563072
D1,work-1,3101,3.101,18.636552693582324,61.6052240581439,0.9707576129429984
D1,work-1,3201,3.201,17.836022093674234,59.38256454467211,0.9434726776138922
D1,work-1,3301,3.301,16.052926774405808,48.06186847285798,0.7646919474074316
D1,work-1,3401,3.4010000000000002,15.788094938834595,45.61189519068882,0.7054120772016569
D1,work-1,3501,3.501,17.50830736833993,53.88945978297233,0.9001060910364287
D1,work-1,3601,3.601,17.077542216752217,49.00470147841345,0.7391098583077531
D1,work-1,3701,3.701,16.311677064953525,49.132948563601644,0.8346557558993086
D1,work-1,3801,3.801,17.408190510211266,55.11389148076103,0.8342775346543064
D1,work-1,3901,3.9010000000000002,17.92599124045578,58.23260128694112,0.881688022672236
D1,work-1,4001,4.001,17.712286813659468,56.716189640492225,0.930915602568815
D1,work-1,4101,4.101,16.88665085321809,49.659267392493845,0.7453363593180777
D1,work-1,4201,4.2010000000000005,18.68944645018506,61.76963519535885,0.9869334365474616
D1,work-1,4301,4.301,18.764688757214362,61.83129235486624,0.941182723225072
D1,work-1,4401,4.401,17.917904311849266,56.96696938115855,0.8543388418009622
D1,work-1,4501,4.501,17.506949559054636,56.27344208973879,0.8880370274581104
D1,work-1,4601,4.601,15.76598062698712,49.42406636205307,0.6152741771152026
D1,work-1,4701,4.7010000000000005,18.546349619101658,60.730073999706214,0.9509764891238349
D1,work-1,4801,4.801,16.950443242607836,48.59158283912847,0.7332736840456521
D1,work-1,4901,4.901,17.82523851724394,59.07996404726975,0.9342137935659767
D1,work-2,1001,1.0010000000000001,18.4169872052714,60.74701409347825,0.9312246615554659
