replicate,metric,Full,Split_2,Split_2_minus_Full
work-2,physical_DNA_bound_minsep_ge_10bp_pair_count,33.42,21.305,-12.115000000000002
work-2,physical_DNA_bound_minsep_ge_10bp_pair_fraction,0.7359941215197352,0.6479193566310895,-0.08807476488864574
work-2,physical_DNA_bound_minsep_ge_20bp_pair_count,22.905,11.9625,-10.9425
work-2,physical_DNA_bound_minsep_ge_20bp_pair_fraction,0.4831482904789543,0.3439244042536033,-0.13922388622535098
work-2,physical_DNA_bound_minsep_ge_40bp_pair_count,9.0775,3.2225,-5.855
work-2,physical_DNA_bound_minsep_ge_40bp_pair_fraction,0.1713143993144681,0.08178040356104546,-0.08953399575342263
work-2,parent_strict_OMO_pair_count,80.425,91.955,11.530000000000001
work-2,parent_strict_OMO_triple_count,83.2925,95.8375,12.545000000000002
work-2,parent_DNA_bound_pair_count,44.1975,40.415,-3.782499999999999
work-2,parent_DNA_bound_triple_count,46.4325,43.45,-2.9824999999999946
work-2,parent_DNA_bound_pair_fraction_of_bridges,0.5457732467648827,0.43825747201890797,-0.10751577474597473
work-2,parent_DNA_bound_pair_fraction_of_bound_O_pairs,0.09142102016356494,0.10336949070426542,0.011948470540700473
work-2,parent_bridged_DNA_bound_OCT4_n,17.25,19.325,2.0749999999999993
work-2,parent_DNA_bound_pair_minsep_mean_bp,23.45705685684909,25.216752029264594,1.7596951724155048
work-2,parent_DNA_bound_pair_minsep_median_bp,20.2525,20.15,-0.1025000000000027
work-2,parent_DNA_bound_pair_centersep_mean_bp,38.071565010249806,39.743914531572344,1.6723495213225377
work-2,parent_DNA_bound_different_20bp_window_pair_count,33.0075,29.6975,-3.3099999999999987
work-2,parent_DNA_bound_minsep_ge_10bp_pair_count,33.42,29.63,-3.7900000000000027
work-2,parent_DNA_bound_minsep_ge_10bp_pair_fraction,0.7359941215197352,0.7034652932334703,-0.03252882828626491
work-2,parent_DNA_bound_minsep_ge_20bp_pair_count,22.905,19.48,-3.4250000000000007
work-2,parent_DNA_bound_minsep_ge_20bp_pair_fraction,0.4831482904789543,0.4391269775945893,-0.044021312884365005
work-2,parent_DNA_bound_minsep_ge_40bp_pair_count,9.0775,8.4425,-0.6349999999999998
work-2,parent_DNA_bound_minsep_ge_40bp_pair_fraction,0.1713143993144681,0.1753748137822794,0.004060414467811302
