system,cutoff_nm,largest_cluster_size_mean,largest_cluster_fraction_mean,largest_cluster_residue_fraction_mean,second_cluster_size_mean,second_cluster_fraction_mean,finite_cluster_mean_size_mean,N_clusters_size_ge_2_mean,monomer_fraction_mean,largest_cluster_size_sd,largest_cluster_fraction_sd,largest_cluster_residue_fraction_sd,second_cluster_size_sd,second_cluster_fraction_sd,finite_cluster_mean_size_sd,N_clusters_size_ge_2_sd,monomer_fraction_sd,largest_cluster_size_n,largest_cluster_fraction_n,largest_cluster_residue_fraction_n,second_cluster_size_n,second_cluster_fraction_n,finite_cluster_mean_size_n,N_clusters_size_ge_2_n,monomer_fraction_n
M10O90-S2,1.2,12.125,0.11022727272727269,0.11840126529765606,7.633333333333333,0.06939393939393936,2.990811573515949,22.008333333333336,0.29787878787878785,0.49180788932265007,0.004470980812024093,0.005496711345897294,0.16266017746619332,0.0014787288860562957,0.060180683329957727,0.24022558842332703,0.007166602600777116,3,3,3,3,3,3,3,3
M10O90-S2,1.4,12.941666666666668,0.1176515151515151,0.12647739058286658,8.141666666666667,0.07401515151515148,3.2286567910665753,21.616666666666664,0.2775,0.6934214687571565,0.006303831534155966,0.006355020632133548,0.27651100038395204,0.0025137363671268293,0.0803011308480991,0.2875905654456216,0.0037825720402484644,3,3,3,3,3,3,3,3
M10O90-S4,1.0,12.433333333333332,0.09564102564102561,0.09723760630574564,8.616666666666667,0.06628205128205125,3.221932473865337,24.808333333333334,0.29756410256410254,0.45092497528229003,0.00346865365601761,0.0033537260609163423,0.21554195260629203,0.0016580150200484086,0.021674327882553256,0.2961559273986142,0.00880494862651575,3,3,3,3,3,3,3,3
M10O90-S4,1.2,13.466666666666667,0.10358974358974356,0.10523940399640457,9.091666666666667,0.0699358974358974,3.4308289931714646,24.474999999999998,0.2803205128205128,0.6027713773341704,0.004636702902570545,0.004491778312225225,0.16072751268321617,0.0012363654821785752,0.05111807835795668,0.4670385423067367,0.0062205915610041695,3,3,3,3,3,3,3,3
M10O90-S4,1.4,14.808333333333332,0.11391025641025639,0.11559168222360501,9.700000000000001,0.0746153846153846,3.679352396102574,23.941666666666666,0.2623076923076923,0.7442837720475524,0.0057252597849811685,0.005774583839660966,0.3132491021535414,0.002409608478104176,0.024816304741037517,0.47258156262526113,0.006180830261533899,3,3,3,3,3,3,3,3
M10O90D1,1.0,48.75,0.4875,0.5107161377307613,5.733333333333333,0.05733333333333334,2.263283389212555,9.799999999999999,0.26366666666666666,1.050892477849185,0.010508924778491833,0.02398687732937827,0.3986957904635226,0.003986957904635227,0.08074403216066801,0.04330127018922165,0.0018763883748662516,3,3,3,3,3,3,3,3
M10O90D1,1.2,49.949999999999996,0.4995,0.5230538270068451,5.741666666666667,0.05741666666666667,2.297321873676926,9.6,0.254,1.651325225387172,0.016513252253871725,0.03197473514263486,0.6756170019569773,0.006756170019569763,0.18024725682418788,0.19525624189766633,0.0027838821814150133,3,3,3,3,3,3,3,3
M10O90D1,1.4,51.21666666666667,0.5121666666666667,0.5373667288944203,5.866666666666667,0.05866666666666667,2.349502747847892,9.283333333333333,0.24550000000000002,1.737874659845564,0.01737874659845562,0.032976624505358224,0.7488880646220323,0.007488880646220323,0.2030713288811616,0.25535922410074263,0.001750000000000019,3,3,3,3,3,3,3,3
M10O90D1-S2,1.0,46.225,0.42022727272727267,0.40955351586807714,5.575,0.050681818181818133,2.278841718679148,13.775,0.26090909090909087,1.1244443072024495,0.010222220974567745,0.015380210318653597,0.09013878188660014,0.000819443471696365,0.06313623629346016,0.4115519408288576,0.0034988191632592367,3,3,3,3,3,3,3,3
M10O90D1-S2,1.2,47.324999999999996,0.4302272727272727,0.4198568761667703,5.9750000000000005,0.054318181818181765,2.414849623948797,13.558333333333332,0.24946969696969692,1.0395311443145892,0.009450283130132651,0.01593027931690826,0.1561249499599603,0.0014193177269087296,0.14572617865974682,0.4274439534410724,0.0035958922079714476,3,3,3,3,3,3,3,3
M10O90D1-S2,1.4,48.5,0.44090909090909086,0.43080896079651526,6.241666666666667,0.0567424242424242,2.5225917951102903,13.216666666666667,0.2395454545454545,1.1947803145348492,0.010861639223044079,0.019453468886482524,0.2553592241007425,0.0023214474918249353,0.18753914456084655,0.44884110031650737,0.004147338088839706,3,3,3,3,3,3,3,3
M10O90D1-S4,1.0,51.574999999999996,0.3967307692307693,0.3963389338311553,7.216666666666666,0.05551282051282047,2.7751335696779442,16.15833333333333,0.24544871794871792,0.7454025757937794,0.005733865967644439,0.00735926838678324,0.24537386440559084,0.0018874912646583998,0.13851168030453073,0.34034296427770316,0.008540569155449424,3,3,3,3,3,3,3,3
M10O90D1-S4,1.2,52.40833333333333,0.40314102564102566,0.4027561709188965,7.608333333333333,0.058525641025640986,2.930106540477492,16.099999999999998,0.23224358974358972,1.0788690065681452,0.008298992358216436,0.009643907475948489,0.038188130791298625,0.0002937548522407587,0.10458192264539198,0.49937460888595325,0.009263430465233764,3,3,3,3,3,3,3,3
M10O90D1-S4,1.4,53.383333333333326,0.4106410256410256,0.4102848648274908,7.866666666666666,0.060512820512820475,3.0787745849431167,15.975,0.2198076923076923,1.1203608049790632,0.008618160038300517,0.009981906937721793,0.260208249933266,0.002001601922563589,0.07251094808940378,0.43373378932243734,0.007146501606177708,3,3,3,3,3,3,3,3
M15O85,1.0,15.141666666666666,0.15141666666666667,0.19833425388934914,8.658333333333333,0.08658333333333333,3.243149394906913,17.233333333333334,0.3149166666666667,1.8536001007049314,0.018536001007049323,0.022567660955172382,0.19418633662885043,0.0019418633662885167,0.07251729776914262,0.6424237957402675,0.00916628787096136,3,3,3,3,3,3,3,3
M15O85,1.2,16.758333333333336,0.16758333333333333,0.21710485133020344,9.049999999999999,0.09049999999999998,3.475648247921308,16.650000000000002,0.29658333333333337,2.1013884299037464,0.02101388429903747,0.026622917799437568,0.24622144504490268,0.0024622144504490282,0.08134048387623262,0.715454401062708,0.00843109324662781,3,3,3,3,3,3,3,3
M15O85,1.4,18.633333333333336,0.18633333333333332,0.2385243487066188,9.683333333333334,0.09683333333333333,3.7316529175339888,16.016666666666666,0.2804166666666667,2.2235013679629994,0.02223501367963,0.030570667511981574,0.3642915499065727,0.0036429154990657367,0.0882059933136114,0.6691101055381933,0.009173103800422928,3,3,3,3,3,3,3,3
M20O80,1.0,17.75,0.1775,0.22482166501158551,9.858333333333334,0.09858333333333334,3.630604701380804,15.558333333333332,0.31075,1.0449282272003184,0.010449282272003186,0.0130248463568539,0.10103629710818389,0.001010362971081847,0.07187054852870363,0.1755942292142116,0.014826075003182736,3,3,3,3,3,3,3,3
M20O80,1.2,19.791666666666668,0.19791666666666666,0.2484380172128434,10.25,0.1025,3.9042802551561935,14.975,0.29241666666666666,1.0811837648306308,0.010811837648306297,0.014091335235633395,0.37332961307670276,0.0037332961307670227,0.13867163918214453,0.21360009363293736,0.01324370919845846,3,3,3,3,3,3,3,3
M20O80,1.4,21.825,0.21825000000000003,0.2731835484938762,10.791666666666666,0.10791666666666666,4.178685265305475,14.466666666666667,0.27591666666666664,1.5994139551723292,0.015994139551723314,0.020573486399675125,0.6737643010232389,0.006737643010232388,0.26352481983402826,0.28759056544562295,0.015480498484652657,3,3,3,3,3,3,3,3
M20O80D1,1.0,49.49166666666667,0.49491666666666667,0.5136432472691163,6.541666666666667,0.06541666666666666,2.5732518712097026,9.725,0.24225,1.3659550993108562,0.013659550993108525,0.017657834786415416,0.2753785273643052,0.0027537852736430495,0.07805740206628706,0.11456439237389589,0.01039531144314589,3,3,3,3,3,3,3,3
M20O80D1,1.2,50.9,0.509,0.5294443065210196,6.675,0.06675,2.6676586902468102,9.408333333333333,0.2314166666666667,1.9635745465858918,0.019635745465858966,0.017537443265309823,0.42720018726587683,0.0042720018726587665,0.1030809109566886,0.19418633662885065,0.009683534134464211,3,3,3,3,3,3,3,3
M20O80D1,1.4,52.083333333333336,0.5208333333333334,0.5428943230718305,6.758333333333333,0.06758333333333333,2.7637924386733848,9.35,0.21816666666666665,2.0736943683516467,0.020736943683516498,0.019965498030017993,0.45023142197467036,0.004502314219746699,0.1285510786430772,0.13919410907075086,0.008847080497731061,3,3,3,3,3,3,3,3
M25O75,1.0,19.599999999999998,0.19599999999999998,0.2443322059376174,9.541666666666666,0.09541666666666666,3.6813499861590633,15.216666666666667,0.29375,1.9279198634798083,0.019279198634798055,0.02865268990960273,0.7567749555405042,0.007567749555405046,0.17649809930588575,0.6866282351704845,0.0037500000000000103,3,3,3,3,3,3,3,3
M25O75,1.2,21.7,0.217,0.26823825629462605,10.091666666666667,0.10091666666666667,3.9792989329860173,14.424999999999999,0.27758333333333335,2.3964817963005673,0.023964817963005692,0.0331740414539263,0.8148363843946426,0.008148363843946429,0.17119168618551064,0.5910795208768443,0.003625718319634512,3,3,3,3,3,3,3,3
M25O75,1.4,24.45,0.24450000000000002,0.2985678316422397,10.741666666666667,0.10741666666666667,4.252985922190287,13.708333333333334,0.26216666666666666,3.510608921540536,0.035106089215405374,0.045873100820599616,0.23228933107943972,0.0023228933107943936,0.12204135985722234,0.5923118547972283,0.0032532035493238864,3,3,3,3,3,3,3,3
M30O70,1.0,21.166666666666668,0.21166666666666667,0.2618201844967644,10.516666666666667,0.10516666666666667,3.9653329464817144,14.391666666666666,0.2891666666666667,1.1652074207338934,0.011652074207338936,0.01082189562934514,0.583809329604566,0.005838093296045666,0.33771189713978866,0.23228933107943936,0.009438396756511824,3,3,3,3,3,3,3,3
M30O70,1.2,24.666666666666668,0.24666666666666667,0.3027041167561613,10.883333333333333,0.10883333333333334,4.123222186127971,13.625,0.2733333333333334,1.3696106502701175,0.013696106502701179,0.015778361075092198,1.1164489837575808,0.0111644898375758,0.4719400494414176,0.13228756555322957,0.01013142800069832,3,3,3,3,3,3,3,3
M30O70,1.4,27.175,0.27175,0.3305472945064023,11.616666666666667,0.11616666666666668,4.463213492338651,12.908333333333333,0.259,0.9003471552684574,0.009003471552684559,0.011638162008332587,1.3753029969186183,0.013753029969186186,0.5621368276165432,0.1842778698958003,0.009971835337589554,3,3,3,3,3,3,3,3
