system,replicate,direct_largest_protein_fraction,augmented_largest_protein_fraction,DNA_component_protein_fraction,DNA_component_MED1,DNA_component_OCT4,n_PP_edges,PP_edge_density,OO_contact_probability,MM_contact_probability,OM_contact_probability,OD_contact_probability,MD_contact_probability,OCT4_mean_degree,MED1_mean_degree,DNA_mean_degree,OCT4_fraction_contacting_DNA,MED1_fraction_contacting_DNA,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity,DNA_fraction_beads_contacting_OCT4,DNA_fraction_beads_contacting_MED1,DNA_fraction_beads_contacting_any_protein,N_OCT4_molecules_contacting_DNA,N_MED1_molecules_contacting_DNA
M30O70,work-2,0.244,0.244,,,,71.825,0.014510101010100964,0.0065631469979295625,0.03775862068965513,0.01883333333333328,,,1.0178571428571428,2.413333333333333,,0.0,0.0,,,,,,,,
M50O0,work,0.9785,0.9785,,,,94.85,0.07742857142857137,,0.07742857142857137,,,,,3.7939999999999996,,,0.0,,,,,,,,
M50O0,work-1,0.983,0.983,,,,95.45,0.07791836734693873,,0.07791836734693873,,,,,3.818,,,0.0,,,,,,,,
M50O0,work-2,0.9845,0.9845,,,,96.825,0.07904081632653057,,0.07904081632653057,,,,,3.8729999999999998,,,0.0,,,,,,,,
M50O0D1,work,0.9869999999999999,0.9869999999999999,0.9869999999999999,49.35,0.0,129.325,0.10557142857142851,,0.10557142857142851,,,0.43099999999999994,,5.604,21.55,,0.43099999999999994,17.156673990073717,53.91315070159048,0.8411256335720079,0.0,0.9976875,0.9976875,0.0,21.55
M50O0D1,work-1,0.9810000000000001,0.9810000000000001,0.9810000000000001,49.05,0.0,132.25,0.10795918367346935,,0.10795918367346935,,,0.48100000000000004,,5.771,24.05,,0.48100000000000004,17.295120045992874,54.83801813996532,0.8556765592564857,0.0,0.998,0.998,0.0,24.05
M50O0D1,work-2,0.9800000000000001,0.9800000000000001,0.9800000000000001,49.0,0.0,126.975,0.10365306122448976,,0.10365306122448976,,,0.41150000000000003,,5.4905,20.575,,0.41150000000000003,17.486193016881778,55.593824183310495,0.886626737138732,0.0,0.99875,0.99875,0.0,20.575
M50O50,work,0.331,0.331,,,,78.225,0.015803030303030242,0.004755102040816275,0.0285102040816326,0.01499,,,0.9824999999999999,2.1465,,0.0,0.0,,,,,,,,
M50O50,work-1,0.32975,0.32975,,,,76.9,0.015535353535353482,0.00497959183673464,0.028163265306122398,0.01452,,,0.97,2.106,,0.0,0.0,,,,,,,,
M50O50,work-2,0.29900000000000004,0.29900000000000004,,,,77.675,0.015691919191919135,0.004795918367346887,0.028244897959183623,0.014879999999999999,,,0.9790000000000001,2.128,,0.0,0.0,,,,,,,,
M5O95,work,0.13375,0.13375,,,,61.85,0.012494949494949465,0.010526315789473635,0.06000000000000001,0.029999999999999954,,,1.1394736842105264,3.0900000000000003,,0.0,0.0,,,,,,,,
M5O95,work-1,0.11200000000000002,0.11200000000000002,,,,59.55,0.012030303030302995,0.010050391937289984,0.065,0.029526315789473633,,,1.0923684210526317,3.0650000000000004,,0.0,0.0,,,,,,,,
M5O95,work-2,0.10825,0.10825,,,,59.95,0.012111111111111083,0.009960806270996592,0.05500000000000001,0.0314210526315789,,,1.0934210526315788,3.2049999999999996,,0.0,0.0,,,,,,,,
